Copied to CUDA
Epoch 1: TrL=3.7174, TrA=0.0308, VL=3.6737, VA=0.0413, TeL=3.6829, TeA=0.0328
Epoch 2: TrL=3.6388, TrA=0.0480, VL=3.5922, VA=0.0544, TeL=3.6141, TeA=0.0474
Epoch 3: TrL=3.5023, TrA=0.0800, VL=3.4387, VA=0.0817, TeL=3.4655, TeA=0.0675
Epoch 4: TrL=3.3213, TrA=0.1026, VL=3.2685, VA=0.0963, TeL=3.2902, TeA=0.0822
Epoch 5: TrL=3.1632, TrA=0.1178, VL=3.1421, VA=0.1028, TeL=3.1561, TeA=0.0938
Epoch 6: TrL=3.0352, TrA=0.1374, VL=3.0136, VA=0.1205, TeL=3.0261, TeA=0.1179
Epoch 7: TrL=2.9252, TrA=0.1507, VL=2.9928, VA=0.1260, TeL=3.0055, TeA=0.1195
Epoch 8: TrL=2.8334, TrA=0.1670, VL=2.8957, VA=0.1411, TeL=2.9062, TeA=0.1321
Epoch 9: TrL=2.7571, TrA=0.1764, VL=2.7826, VA=0.1547, TeL=2.7835, TeA=0.1467
Epoch 10: TrL=2.6901, TrA=0.1839, VL=2.7328, VA=0.1643, TeL=2.7366, TeA=0.1568
Epoch 11: TrL=2.6172, TrA=0.1971, VL=2.6492, VA=0.1704, TeL=2.6612, TeA=0.1689
Epoch 12: TrL=2.5623, TrA=0.2038, VL=2.5930, VA=0.1784, TeL=2.6081, TeA=0.1724
Epoch 13: TrL=2.5047, TrA=0.2165, VL=2.5521, VA=0.1825, TeL=2.5605, TeA=0.1709
Epoch 14: TrL=2.4671, TrA=0.2181, VL=2.4874, VA=0.1875, TeL=2.5028, TeA=0.1860
Epoch 15: TrL=2.4206, TrA=0.2241, VL=2.5034, VA=0.1860, TeL=2.4936, TeA=0.1764
Epoch 16: TrL=2.3875, TrA=0.2294, VL=2.4402, VA=0.2036, TeL=2.4397, TeA=0.1885
Epoch 17: TrL=2.3320, TrA=0.2363, VL=2.3924, VA=0.2056, TeL=2.3854, TeA=0.1971
Epoch 18: TrL=2.3021, TrA=0.2414, VL=2.3760, VA=0.2051, TeL=2.3712, TeA=0.2021
Epoch 19: TrL=2.2845, TrA=0.2402, VL=2.3571, VA=0.2142, TeL=2.3626, TeA=0.2072
Epoch 20: TrL=2.2586, TrA=0.2451, VL=2.3312, VA=0.2122, TeL=2.3291, TeA=0.2112
Epoch 21: TrL=2.2259, TrA=0.2504, VL=2.2898, VA=0.2162, TeL=2.2826, TeA=0.2233
Epoch 22: TrL=2.2110, TrA=0.2543, VL=2.2633, VA=0.2208, TeL=2.2618, TeA=0.2263
Epoch 23: TrL=2.1876, TrA=0.2608, VL=2.2618, VA=0.2268, TeL=2.2537, TeA=0.2308
Epoch 24: TrL=2.1491, TrA=0.2671, VL=2.2252, VA=0.2308, TeL=2.2179, TeA=0.2364
Epoch 25: TrL=2.1395, TrA=0.2682, VL=2.2250, VA=0.2339, TeL=2.2185, TeA=0.2308
Epoch 26: TrL=2.0999, TrA=0.2762, VL=2.1942, VA=0.2535, TeL=2.1823, TeA=0.2460
Epoch 27: TrL=2.1046, TrA=0.2769, VL=2.3773, VA=0.2298, TeL=2.3826, TeA=0.2344
Epoch 28: TrL=2.1380, TrA=0.2772, VL=2.1543, VA=0.2550, TeL=2.1335, TeA=0.2591
Epoch 29: TrL=2.0724, TrA=0.2926, VL=2.1371, VA=0.2651, TeL=2.1382, TeA=0.2676
Epoch 30: TrL=2.0297, TrA=0.2997, VL=2.1289, VA=0.2707, TeL=2.1139, TeA=0.2656
Epoch 31: TrL=2.0072, TrA=0.3071, VL=2.1032, VA=0.2747, TeL=2.1235, TeA=0.2646
