Epoch 1: TrL=3.7067, TrA=0.0322, VL=3.7014, VA=0.0312, TeL=3.7048, TeA=0.0287
Epoch 2: TrL=3.6557, TrA=0.0453, VL=3.6521, VA=0.0368, TeL=3.6544, TeA=0.0373
Epoch 3: TrL=3.5875, TrA=0.0553, VL=3.5791, VA=0.0509, TeL=3.5782, TeA=0.0474
Epoch 4: TrL=3.4939, TrA=0.0758, VL=3.4801, VA=0.0595, TeL=3.4779, TeA=0.0721
Epoch 5: TrL=3.3727, TrA=0.0894, VL=3.3581, VA=0.0680, TeL=3.3617, TeA=0.0781
Epoch 6: TrL=3.2416, TrA=0.1044, VL=3.2255, VA=0.0907, TeL=3.2447, TeA=0.0953
Epoch 7: TrL=3.1120, TrA=0.1198, VL=3.0965, VA=0.1119, TeL=3.1185, TeA=0.1058
Epoch 8: TrL=2.9995, TrA=0.1383, VL=3.0096, VA=0.1250, TeL=3.0250, TeA=0.1159
Epoch 9: TrL=2.9102, TrA=0.1558, VL=2.9307, VA=0.1376, TeL=2.9430, TeA=0.1346
Epoch 10: TrL=2.8376, TrA=0.1717, VL=2.8608, VA=0.1537, TeL=2.8738, TeA=0.1537
Epoch 11: TrL=2.7760, TrA=0.1793, VL=2.8098, VA=0.1603, TeL=2.8123, TeA=0.1638
Epoch 12: TrL=2.7210, TrA=0.1904, VL=2.7619, VA=0.1598, TeL=2.7618, TeA=0.1633
Epoch 13: TrL=2.6722, TrA=0.1988, VL=2.7194, VA=0.1683, TeL=2.7113, TeA=0.1764
Epoch 14: TrL=2.6288, TrA=0.2077, VL=2.6814, VA=0.1804, TeL=2.6744, TeA=0.1809
Epoch 15: TrL=2.5899, TrA=0.2123, VL=2.6470, VA=0.1850, TeL=2.6310, TeA=0.1971
Epoch 16: TrL=2.5537, TrA=0.2174, VL=2.6145, VA=0.1910, TeL=2.5941, TeA=0.2011
Epoch 17: TrL=2.5190, TrA=0.2282, VL=2.5864, VA=0.1981, TeL=2.5681, TeA=0.2077
Epoch 18: TrL=2.4887, TrA=0.2342, VL=2.5600, VA=0.2056, TeL=2.5362, TeA=0.2162
Epoch 19: TrL=2.4591, TrA=0.2437, VL=2.5333, VA=0.2107, TeL=2.5071, TeA=0.2127
Epoch 20: TrL=2.4304, TrA=0.2418, VL=2.5057, VA=0.2082, TeL=2.4788, TeA=0.2243
Epoch 21: TrL=2.4037, TrA=0.2523, VL=2.4898, VA=0.2107, TeL=2.4620, TeA=0.2228
Epoch 22: TrL=2.3793, TrA=0.2530, VL=2.4635, VA=0.2203, TeL=2.4397, TeA=0.2278
Epoch 23: TrL=2.3570, TrA=0.2534, VL=2.4430, VA=0.2117, TeL=2.4137, TeA=0.2298
Epoch 24: TrL=2.3368, TrA=0.2574, VL=2.4284, VA=0.2228, TeL=2.4003, TeA=0.2354
Epoch 25: TrL=2.3182, TrA=0.2655, VL=2.4087, VA=0.2258, TeL=2.3770, TeA=0.2434
Epoch 26: TrL=2.2993, TrA=0.2622, VL=2.3927, VA=0.2193, TeL=2.3617, TeA=0.2399
Epoch 27: TrL=2.2819, TrA=0.2647, VL=2.3737, VA=0.2243, TeL=2.3437, TeA=0.2455
Epoch 28: TrL=2.2661, TrA=0.2632, VL=2.3684, VA=0.2198, TeL=2.3379, TeA=0.2404
Epoch 29: TrL=2.2499, TrA=0.2696, VL=2.3449, VA=0.2303, TeL=2.3097, TeA=0.2525
Epoch 30: TrL=2.2337, TrA=0.2690, VL=2.3331, VA=0.2324, TeL=2.3083, TeA=0.2434
Epoch 31: TrL=2.2176, TrA=0.2716, VL=2.3234, VA=0.2414, TeL=2.2943, TeA=0.2424
Epoch 32: TrL=2.2054, TrA=0.2755, VL=2.3129, VA=0.2404, TeL=2.2810, TeA=0.2500
Epoch 33: TrL=2.1906, TrA=0.2802, VL=2.2975, VA=0.2450, TeL=2.2678, TeA=0.2520
Epoch 34: TrL=2.1796, TrA=0.2789, VL=2.2841, VA=0.2424, TeL=2.2573, TeA=0.2550
Epoch 35: TrL=2.1665, TrA=0.2847, VL=2.2724, VA=0.2470, TeL=2.2475, TeA=0.2586
Epoch 36: TrL=2.1549, TrA=0.2804, VL=2.2631, VA=0.2475, TeL=2.2374, TeA=0.2525
Epoch 37: TrL=2.1429, TrA=0.2845, VL=2.2523, VA=0.2505, TeL=2.2247, TeA=0.2535
Epoch 38: TrL=2.1320, TrA=0.2832, VL=2.2380, VA=0.2520, TeL=2.2174, TeA=0.2601
Epoch 39: TrL=2.1214, TrA=0.2892, VL=2.2383, VA=0.2515, TeL=2.2097, TeA=0.2586
Epoch 40: TrL=2.1109, TrA=0.2895, VL=2.2216, VA=0.2566, TeL=2.1993, TeA=0.2666
Epoch 41: TrL=2.1003, TrA=0.2891, VL=2.2166, VA=0.2651, TeL=2.1894, TeA=0.2732
Epoch 42: TrL=2.0927, TrA=0.2906, VL=2.2087, VA=0.2631, TeL=2.1831, TeA=0.2671
Epoch 43: TrL=2.0836, TrA=0.2930, VL=2.1980, VA=0.2621, TeL=2.1738, TeA=0.2636
Epoch 44: TrL=2.0740, TrA=0.3002, VL=2.1910, VA=0.2591, TeL=2.1658, TeA=0.2722
Epoch 45: TrL=2.0658, TrA=0.2988, VL=2.1815, VA=0.2651, TeL=2.1530, TeA=0.2802
Epoch 46: TrL=2.0559, TrA=0.3028, VL=2.1794, VA=0.2601, TeL=2.1515, TeA=0.2802
Epoch 47: TrL=2.0487, TrA=0.3043, VL=2.1744, VA=0.2656, TeL=2.1414, TeA=0.2812
Epoch 48: TrL=2.0403, TrA=0.3061, VL=2.1651, VA=0.2621, TeL=2.1427, TeA=0.2772
Epoch 49: TrL=2.0298, TrA=0.3096, VL=2.1592, VA=0.2697, TeL=2.1251, TeA=0.2838
Epoch 50: TrL=2.0231, TrA=0.3096, VL=2.1489, VA=0.2747, TeL=2.1147, TeA=0.2843
Epoch 51: TrL=2.0139, TrA=0.3119, VL=2.1475, VA=0.2697, TeL=2.1186, TeA=0.2828
Epoch 52: TrL=2.0092, TrA=0.3134, VL=2.1306, VA=0.2752, TeL=2.1037, TeA=0.2918
Epoch 53: TrL=1.9996, TrA=0.3178, VL=2.1315, VA=0.2762, TeL=2.0951, TeA=0.2898
Epoch 54: TrL=1.9931, TrA=0.3161, VL=2.1202, VA=0.2757, TeL=2.1013, TeA=0.2843
Epoch 55: TrL=1.9868, TrA=0.3212, VL=2.1214, VA=0.2757, TeL=2.0852, TeA=0.2913
Epoch 56: TrL=1.9782, TrA=0.3249, VL=2.1132, VA=0.2828, TeL=2.0872, TeA=0.2939
